Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Kentucky Hazard Mitigation Assistance Funding Route,Kentucky Emergency Management,Program active; current cycle uncertain,Declaration-specific or annual by program,Kentucky,,,,,,Communities work with KYEM and the State Hazard Mitigation Officer,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The page offers program support but is not a current NOFO. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.kyem.ky.gov/recover-and-mitigate/disaster-mitigation,2026-08-17,RERC-FND-2026-HMA-KENTUCKY
Funding,Louisiana Hazard Mitigation Assistance Funding Route,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Program active; current cycle uncertain,Annual or declaration-specific,Louisiana,,,,,,Eligible subapplicants submit through GOHSEP and use FEMA GO when directed,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Historical notices must not be carried forward as current deadlines. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://gohsep.la.gov/recovery/hazard-mitigation/,2026-08-17,RERC-FND-2026-HMA-LOUISIANA
Funding,Maine Hazard Mitigation Assistance Funding Route,Maine Emergency Management Agency,FY2024/25 state rounds closed,BRIC closed 2026-06-18; FMA closed 2026-07-06,Maine,,,,,,"Communities, counties, Tribes, and eligible entities submit through MEMA and FEMA GO",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Monitor MEMA for the next cycle. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.maine.gov/mema/grants/mitigation-grants,2026-08-17,RERC-FND-2026-HMA-MAINE
Funding,Maryland Hazard Mitigation Assistance Funding Route,Maryland Department of Emergency Management,Program active; current deadline uncertain,Cycle- or disaster-specific,Maryland,,,,,,Local jurisdictions prepare applications with MDEM; households usually proceed through a locality,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The page describes the route but not a current open deadline. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://mdem.maryland.gov/community/Pages/LocalJurisdictionHazardMitigation.aspx,2026-08-17,RERC-FND-2026-HMA-MARYLAND
Funding,Massachusetts Hazard Mitigation Assistance Funding Route,Massachusetts Emergency Management Agency,FY2024/25 BRIC round closed; rolling statements of interest accepted,BRIC closed 2026-06-08; statements of interest are rolling,Massachusetts,,,,,,"Eligible municipalities, state agencies, and other subapplicants file a MEMA Statement of Interest",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,"A rolling statement of interest is an eligibility screen, not an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose.","Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.mass.gov/hazard-mitigation-assistance-hma-grant-programs,2026-08-17,RERC-FND-2026-HMA-MASSACHUSETTS
Funding,Mississippi Hazard Mitigation Assistance Funding Route,Mississippi Emergency Management Agency,FY2024/25 BRIC round closed,Closed 2026-06-12,Mississippi,,,,,,"Local governments, Tribes, and eligible entities submit through MEMA",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Local entities do not apply directly to FEMA. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://msema.org/about/about-mema/mitigation/grant-funding/building-resilient-infrastructure-and-communities,2026-08-17,RERC-FND-2026-HMA-MISSISSIPPI
Funding,Montana Hazard Mitigation Assistance Funding Route,Montana Disaster and Emergency Services,Disaster-triggered,State schedule generally follows a declaration,Montana,,,,,,"State, local, Tribal, and eligible nonprofit subapplicants submit through Montana DES",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The normal federal share is 75% with a 25% nonfederal share. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://des.mt.gov/Grant-Programs/HMGP,2026-08-17,RERC-FND-2026-HMA-MONTANA
Funding,Nevada Hazard Mitigation Assistance Funding Route,Nevada Division of Emergency Management,Recurring and disaster-triggered,Program-specific state notices,Nevada,,,,,,"Eligible state, local, Tribal, and nonprofit subapplicants coordinate through Nevada DEM",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Annual and disaster-triggered programs have separate cycles. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.oem.nv.gov/grants-management/recovery-and-mitigation-grants/,2026-08-17,RERC-FND-2026-HMA-NEVADA
Funding,New Hampshire Hazard Mitigation Assistance Funding Route,New Hampshire Homeland Security and Emergency Management,Current cycle uncertain,No verified current deadline,New Hampshire,,,,,,Municipalities and eligible governmental entities submit a letter of intent to HSEM,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The official agency surface confirms administration but not a current cycle. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.dos.nh.gov/divisions/homeland-security-and-emergency-management,2026-08-17,RERC-FND-2026-HMA-NEW-HAMPSHIRE
Funding,New Jersey Hazard Mitigation Assistance Funding Route,New Jersey Office of Emergency Management,Official page is stale,No verified 2026 deadline,New Jersey,,,,,,Local governments and eligible subapplicants coordinate through NJOEM and applicable grant systems,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Do not infer current availability from the page's older deadlines. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.nj.gov/njoem/mitigation/index.shtml,2026-08-17,RERC-FND-2026-HMA-NEW-JERSEY
Funding,New Mexico Hazard Mitigation Assistance Funding Route,New Mexico Department of Homeland Security and Emergency Management,Disaster-triggered,State notices follow qualifying declarations,New Mexico,,,,,,"Local, municipal, Tribal, state, quasi-governmental, and eligible nonprofit applicants submit through DHSEM",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Projects must meet state and FEMA eligibility requirements. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.dhsem.nm.gov/recovery/hazard-mitigation-grant-program-hmgp/,2026-08-17,RERC-FND-2026-HMA-NEW-MEXICO
